cluster,cluster_index,label,label_index
Advanced tutorial,1.0,Partitioned analysis for multi-gene alignments,1.0
Advanced tutorial,1.0,Partitioned analysis with mixed data,2.0
Advanced tutorial,1.0,Choosing the right partitioning scheme,3.0
Advanced tutorial,1.0,Ultrafast bootstrapping with partition model,4.0
Advanced tutorial,1.0,Constrained tree search,5.0
Advanced tutorial,1.0,Tree topology tests,6.0
Advanced tutorial,1.0,Testing constrained tree,7.0
Advanced tutorial,1.0,Consensus construction and bootstrap value assignment,8.0
Advanced tutorial,1.0,User-defined substitution models,9.0
Advanced tutorial,1.0,Inferring site-specific rates,10.0
Advanced tutorial,1.0,Where to go from here?,11.0
Beginner’s tutorial,2.0,Input data,12.0
Beginner’s tutorial,2.0,First running example,13.0
Beginner’s tutorial,2.0,Choosing the right substitution model,14.0
Beginner’s tutorial,2.0,Using codon models,15.0
Beginner’s tutorial,2.0,"Binary, morphological and SNP data",16.0
Beginner’s tutorial,2.0,Assessing branch supports with ultrafast bootstrap approximation,17.0
Beginner’s tutorial,2.0,Reducing impact of severe model violations with UFBoot,18.0
Beginner’s tutorial,2.0,Assessing branch supports with standard nonparametric bootstrap,19.0
Beginner’s tutorial,2.0,Assessing branch supports with single branch tests,20.0
Beginner’s tutorial,2.0,Utilizing multi-core CPUs,21.0
Beginner’s tutorial,2.0,Where to go from here?,22.0
Command reference,3.0,General options,23.0
Command reference,3.0,Checkpointing to resume stopped run,24.0
Command reference,3.0,Likelihood mapping analysis,25.0
Command reference,3.0,Automatic model selection,26.0
Command reference,3.0,Specifying substitution models,27.0
Command reference,3.0,Rate heterogeneity,28.0
Command reference,3.0,Partition model options,29.0
Command reference,3.0,Site-specific frequency model options,30.0
Command reference,3.0,Tree search parameters,31.0
Command reference,3.0,Ultrafast bootstrap parameters,32.0
Command reference,3.0,Nonparametric bootstrap,33.0
Command reference,3.0,Single branch tests,34.0
Command reference,3.0,Ancestral sequence reconstruction,35.0
Command reference,3.0,Tree topology tests,36.0
Command reference,3.0,Constructing consensus tree,37.0
Command reference,3.0,Computing Robinson-Foulds distance,38.0
Command reference,3.0,Generating random trees,39.0
Command reference,3.0,Miscellaneous options,40.0
Compilation guide,4.0,General requirements,41.0
Compilation guide,4.0,Downloading source code,42.0
Compilation guide,4.0,Compiling under Linux,43.0
Compilation guide,4.0,Compiling under Mac OS X,44.0
Compilation guide,4.0,Compiling under Windows,45.0
Compilation guide,4.0,Compiling 32-bit version,46.0
Compilation guide,4.0,Compiling MPI version,47.0
Compilation guide,4.0,Compiling Xeon Phi Knights Landing version,48.0
Compilation guide,4.0,About precompiled binaries,49.0
Compilation guide,4.0,Setup an Xcode project in MacOS,50.0
Complex models,5.0,Partition models,51.0
Complex models,5.0,Mixture models,52.0
Complex models,5.0,Site-specific frequency models,53.0
Complex models,5.0,Heterotachy models,54.0
Frequently asked questions,6.0,How do I get help?,55.0
Frequently asked questions,6.0,How do I report bug?,56.0
Frequently asked questions,6.0,How do I interpret ultrafast bootstrap (UFBoot) support values?,57.0
Frequently asked questions,6.0,How does IQ-TREE treat gap/missing/ambiguous characters?,58.0
Frequently asked questions,6.0,Can I mix DNA and protein data in a partitioned analysis?,59.0
Frequently asked questions,6.0,What is the interpretation of branch lengths when mixing codon and DNA data?,60.0
Frequently asked questions,6.0,What is the purpose of composition test?,61.0
Frequently asked questions,6.0,What is the good number of CPU cores to use?,62.0
Frequently asked questions,6.0,How do I save time for standard bootstrap?,63.0
Frequently asked questions,6.0,Why does IQ-TREE complain about the use of +ASC model?,64.0
Frequently asked questions,6.0,How does IQ-TREE treat identical sequences?,65.0
Frequently asked questions,6.0,What are the differences between alignment columns/sites and patterns?,66.0
Introduction,7.0,Why IQ-TREE?,67.0
Introduction,7.0,Key features,68.0
Introduction,7.0,Free web server,69.0
Introduction,7.0,User support,70.0
Introduction,7.0,Documentation,71.0
Introduction,7.0,How to cite IQ-TREE?,72.0
Introduction,7.0,Development team,73.0
Introduction,7.0,Credits and acknowledgements,74.0
Phylogenetic Dating,8.0,Inferring time tree with tip dates,75.0
Phylogenetic Dating,8.0,Calibrating tree using ancestral dates,76.0
Phylogenetic Dating,8.0,Dating an existing tree,77.0
Phylogenetic Dating,8.0,Obtaining confidence intervals,78.0
Phylogenetic Dating,8.0,Excluding outlier taxa/nodes,79.0
Phylogenetic Dating,8.0,Full list of LSD2 options,80.0
Polymorphism-aware models,9.0,Counts files,81.0
Polymorphism-aware models,9.0,First running example,82.0
Polymorphism-aware models,9.0,Substitution models,83.0
Polymorphism-aware models,9.0,Virtual population size,84.0
Polymorphism-aware models,9.0,Level of polymorphism,85.0
Polymorphism-aware models,9.0,Sampling method,86.0
Polymorphism-aware models,9.0,State frequency type,87.0
Polymorphism-aware models,9.0,Rate heterogeneity,88.0
Polymorphism-aware models,9.0,Bootstrap branch support,89.0
Polymorphism-aware models,9.0,Interpretation of branch lengths,90.0
Substitution models,10.0,DNA models,91.0
Substitution models,10.0,Protein models,92.0
Substitution models,10.0,Codon models,93.0
Substitution models,10.0,Binary and morphological models,94.0
Substitution models,10.0,Ascertainment bias correction,95.0
Substitution models,10.0,Rate heterogeneity across sites,96.0
