source,target
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s morphology.phy
",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Binary, morphological and SNP data",5.0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Here, IQ-TREE will write an additional file:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: # Site-specific subtitution rates determined by maximum likelihood
# This file can be read in MS Excel or in R with command:
#   tab=read.table('example.phy.mlrate',header=TRUE)
# Columns are tab-separated with following meaning:
#   Site:   Alignment site ID
#   Rate:   Site rate estimated by maximum likelihood
Site    Rate
1       2.51550
2       12.89129
3       34.31350
4       2.44313
5       2.44313
6       4.41889
7       2.69577
8       9.27503
9       2.44313
10      0.00001
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: To run UFBoot:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: assuming that example.treels is an existing file containing a set of trees in NEWICK format. IQ-TREE first reconstructs an ML tree. Then, it will compute the log-likelihood of the trees in example.treels based on the estimated parameters done for the ML tree. example.phy.iqtree will have a section called USER TREES that lists the tree IDs and the corresponding log-likelihoods. The trees with optimized branch lengths can be found in example.phy.treels.trees If you only want to evaluate the trees without reconstructing the ML tree, you can run:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Then while running IQ-TREE may print something like this on to the screen:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE
# for version 1.x change -p to -spp
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -s example.phy -p example.nex -m MF+MERGE -rcluster 10
# for version 1.x change -p to -spp
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: iqtree -con mytrees -minsup 0.5 -bi 100
",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: O. Chernomor, A. von Haeseler, and B.Q. Minh (2016) Terrace aware data structure for phylogenomic inference from supermatrices. Syst. Biol., 65:997-1008. https://doi.org/10.1093/sysbio/syw037",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: The branches of the resulting .treefile will be assigned with both SH-aLRT and UFBoot support values, which are readable by any tree viewer program like FigTree, Dendroscope or ETE. You can also look at the textual tree figure in .iqtree file:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: This will perform all above tests plus the AU test.",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Now look at the resulting .iqtree file:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: D.T. Hoang, O. Chernomor, A. von Haeseler, B.Q. Minh, and L.S. Vinh (2018) UFBoot2: Improving the ultrafast bootstrap approximation. Mol. Biol. Evol., 35:518–522. https://doi.org/10.1093/molbev/msx281",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: Here, IQ-TREE will use 2 CPU cores to perform the analysis.",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: NOTE: If you use model selection please cite the following paper:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: If the run successfully completed, running again will issue an error message:",0.5
"stsb sentence1: iqtree -s morphology.phy
. sentence2: To resemble PartitionFinder and save time:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: where mymodel is a file containing the 10 entries described above, in the correct order. The entries can be seperated by either empty space(s) or newline character. One can even specify the rates within -m option by e.g.:",0
"stsb sentence1: iqtree -s morphology.phy
. sentence2: The above run will perform a full tree search. To speed up you can use -n 0 to only use a parsimony tree for site rate estimates. Or if you have already infered an ML tree, you can specify it to improve the rate estimate:",0
