answer,answer_index,cluster,cluster_index,first,label,label_index
http://www.iqtree.org/doc/Tutorial#input-data,14.0,Beginner’s tutorial,3.0,"IQ-TREE takes as input a multiple sequence alignment and will reconstruct an evolutionary tree that is best explained by the input data. If you have raw (unaligned) sequences, you need to first run an alignment program like MAFFT or ClustalW to align the sequences, before feeding them into IQ-TREE.",Input data,14.0
http://www.iqtree.org/doc/Tutorial#first-running-example,15.0,Beginner’s tutorial,3.0,From the download there is an example alignment called example.phy in PHYLIP format. This example contains parts of the mitochondrial DNA sequences of several animals (Source: Phylogenetic Handbook).,First running example,15.0
http://www.iqtree.org/doc/Tutorial#choosing-the-right-substitution-model,16.0,Beginner’s tutorial,3.0,NOTE: If you use model selection please cite the following paper:,Choosing the right substitution model,16.0
http://www.iqtree.org/doc/Tutorial#using-codon-models,17.0,Beginner’s tutorial,3.0,"IQ-TREE supports a number of codon models. You need to input a protein-coding DNA alignment and specify codon data by option -st CODON (Otherwise, IQ-TREE applies DNA model because it detects that your alignment has DNA sequences):",Using codon models,17.0
http://www.iqtree.org/doc/Tutorial#binary-morphological-and-snp-data,18.0,Beginner’s tutorial,3.0,"Binary alignments contain sequences with characters 0 and 1, which can be in any common formats supported by IQ-TREE, for example, in PHYLIP format:","Binary, morphological and SNP data",18.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-ultrafast-bootstrap-approximation,19.0,Beginner’s tutorial,3.0,"To overcome the computational burden required by the nonparametric bootstrap, IQ-TREE introduces an ultrafast bootstrap approximation (UFBoot) (Minh et al., 2013; Hoang et al., 2018) that is orders of magnitude faster than the standard procedure and provides relatively unbiased branch support values. Citation for UFBoot:",Assessing branch supports with ultrafast bootstrap approximation,19.0
http://www.iqtree.org/doc/Tutorial#reducing-impact-of-severe-model-violations-with-ufboot,20.0,Beginner’s tutorial,3.0,Starting with IQ-TREE version 1.6 we provide a new option -bnni to reduce the risk of overestimating branch supports with UFBoot due to severe model violations. With this option UFBoot will further optimize each bootstrap tree using a hill-climbing nearest neighbor interchange (NNI) search based directly on the corresponding bootstrap alignment.,Reducing impact of severe model violations with UFBoot,20.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with--standard-nonparametric-bootstrap,21.0,Beginner’s tutorial,3.0,The standard nonparametric bootstrap is invoked by the -b option:,Assessing branch supports with standard nonparametric bootstrap,21.0
http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-single-branch-tests,22.0,Beginner’s tutorial,3.0,"IQ-TREE provides an implementation of the SH-like approximate likelihood ratio test (Guindon et al., 2010). To perform this test, run:",Assessing branch supports with single branch tests,22.0
http://www.iqtree.org/doc/Tutorial#utilizing-multi-core-cpus,23.0,Beginner’s tutorial,3.0,IQ-TREE can utilize multiple CPU cores to speed up the analysis. A complement option -T (or -nt for version 1.x) allows specifying the number of CPU cores to use. For example:,Utilizing multi-core CPUs,23.0
http://www.iqtree.org/doc/Tutorial#where-to-go-from-here,24.0,Beginner’s tutorial,3.0,"Once confident enough you can go on with a more advanced tutorial, which covers topics like phylogenomic (multi-gene) analyses using partition models or mixture models.",Where to go from here?,24.0
http://www.iqtree.org/doc/Command-Reference#general-options,25.0,Command reference,4.0,General options are mainly intended for specifying input and output files:,General options,25.0
