answer_index,answer,label_index,label,cluster_index,cluster
1.0,http://www.iqtree.org/doc/Advanced-Tutorial#partitioned-analysis-for-multi-gene-alignments,1.0,Partitioned analysis for multi-gene alignments,1.0,Advanced tutorial
2.0,http://www.iqtree.org/doc/Advanced-Tutorial#partitioned-analysis-with-mixed-data,2.0,Partitioned analysis with mixed data,1.0,Advanced tutorial
3.0,http://www.iqtree.org/doc/Advanced-Tutorial#choosing-the-right-partitioning-scheme,3.0,Choosing the right partitioning scheme,1.0,Advanced tutorial
4.0,http://www.iqtree.org/doc/Advanced-Tutorial#ultrafast-bootstrapping-with-partition-model,4.0,Ultrafast bootstrapping with partition model,1.0,Advanced tutorial
5.0,http://www.iqtree.org/doc/Advanced-Tutorial#constrained-tree-search,5.0,Constrained tree search,1.0,Advanced tutorial
6.0,http://www.iqtree.org/doc/Advanced-Tutorial#tree-topology-tests,6.0,Tree topology tests,1.0,Advanced tutorial
7.0,http://www.iqtree.org/doc/Advanced-Tutorial#testing-constrained-tree,7.0,Testing constrained tree,1.0,Advanced tutorial
8.0,http://www.iqtree.org/doc/Advanced-Tutorial#consensus-construction-and-bootstrap-value-assignment,8.0,Consensus construction and bootstrap value assignment,1.0,Advanced tutorial
9.0,http://www.iqtree.org/doc/Advanced-Tutorial#user-defined-substitution-models,9.0,User-defined substitution models,1.0,Advanced tutorial
10.0,http://www.iqtree.org/doc/Advanced-Tutorial#inferring-site-specific-rates,10.0,Inferring site-specific rates,1.0,Advanced tutorial
11.0,http://www.iqtree.org/doc/Advanced-Tutorial#where-to-go-from-here,11.0,Where to go from here?,1.0,Advanced tutorial
12.0,http://www.iqtree.org/doc/Assessing-Phylogenetic-Assumptions#tests-of-symmetry,12.0,Tests of symmetry,2.0,Assessing phylogenetic assumptions
13.0,http://www.iqtree.org/doc/Assessing-Phylogenetic-Assumptions#likelihood-mapping,13.0,Likelihood mapping,2.0,Assessing phylogenetic assumptions
14.0,http://www.iqtree.org/doc/Tutorial#input-data,14.0,Input data,3.0,Beginner’s tutorial
15.0,http://www.iqtree.org/doc/Tutorial#first-running-example,15.0,First running example,3.0,Beginner’s tutorial
16.0,http://www.iqtree.org/doc/Tutorial#choosing-the-right-substitution-model,16.0,Choosing the right substitution model,3.0,Beginner’s tutorial
17.0,http://www.iqtree.org/doc/Tutorial#using-codon-models,17.0,Using codon models,3.0,Beginner’s tutorial
18.0,http://www.iqtree.org/doc/Tutorial#binary-morphological-and-snp-data,18.0,"Binary, morphological and SNP data",3.0,Beginner’s tutorial
19.0,http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-ultrafast-bootstrap-approximation,19.0,Assessing branch supports with ultrafast bootstrap approximation,3.0,Beginner’s tutorial
20.0,http://www.iqtree.org/doc/Tutorial#reducing-impact-of-severe-model-violations-with-ufboot,20.0,Reducing impact of severe model violations with UFBoot,3.0,Beginner’s tutorial
21.0,http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with--standard-nonparametric-bootstrap,21.0,Assessing branch supports with standard nonparametric bootstrap,3.0,Beginner’s tutorial
22.0,http://www.iqtree.org/doc/Tutorial#assessing-branch-supports-with-single-branch-tests,22.0,Assessing branch supports with single branch tests,3.0,Beginner’s tutorial
23.0,http://www.iqtree.org/doc/Tutorial#utilizing-multi-core-cpus,23.0,Utilizing multi-core CPUs,3.0,Beginner’s tutorial
24.0,http://www.iqtree.org/doc/Tutorial#where-to-go-from-here,24.0,Where to go from here?,3.0,Beginner’s tutorial
25.0,http://www.iqtree.org/doc/Command-Reference#general-options,25.0,General options,4.0,Command reference
26.0,http://www.iqtree.org/doc/Command-Reference#checkpointing-to-resume-stopped-run,26.0,Checkpointing to resume stopped run,4.0,Command reference
27.0,http://www.iqtree.org/doc/Command-Reference#likelihood-mapping-analysis,27.0,Likelihood mapping analysis,4.0,Command reference
28.0,http://www.iqtree.org/doc/Command-Reference#automatic-model-selection,28.0,Automatic model selection,4.0,Command reference
29.0,http://www.iqtree.org/doc/Command-Reference#specifying-substitution-models,29.0,Specifying substitution models,4.0,Command reference
30.0,http://www.iqtree.org/doc/Command-Reference#rate-heterogeneity,30.0,Rate heterogeneity,4.0,Command reference
31.0,http://www.iqtree.org/doc/Command-Reference#partition-model-options,31.0,Partition model options,4.0,Command reference
32.0,http://www.iqtree.org/doc/Command-Reference#site-specific-frequency-model-options,32.0,Site-specific frequency model options,4.0,Command reference
33.0,http://www.iqtree.org/doc/Command-Reference#tree-search-parameters,33.0,Tree search parameters,4.0,Command reference
34.0,http://www.iqtree.org/doc/Command-Reference#ultrafast-bootstrap-parameters,34.0,Ultrafast bootstrap parameters,4.0,Command reference
35.0,http://www.iqtree.org/doc/Command-Reference#nonparametric-bootstrap,35.0,Nonparametric bootstrap,4.0,Command reference
36.0,http://www.iqtree.org/doc/Command-Reference#single-branch-tests,36.0,Single branch tests,4.0,Command reference
37.0,http://www.iqtree.org/doc/Command-Reference#ancestral-sequence-reconstruction,37.0,Ancestral sequence reconstruction,4.0,Command reference
38.0,http://www.iqtree.org/doc/Command-Reference#tree-topology-tests,38.0,Tree topology tests,4.0,Command reference
39.0,http://www.iqtree.org/doc/Command-Reference#constructing-consensus-tree,39.0,Constructing consensus tree,4.0,Command reference
40.0,http://www.iqtree.org/doc/Command-Reference#computing-robinson-foulds-distance,40.0,Computing Robinson-Foulds distance,4.0,Command reference
41.0,http://www.iqtree.org/doc/Command-Reference#generating-random-trees,41.0,Generating random trees,4.0,Command reference
42.0,http://www.iqtree.org/doc/Command-Reference#miscellaneous-options,42.0,Miscellaneous options,4.0,Command reference
43.0,http://www.iqtree.org/doc/Compilation-Guide#general-requirements,43.0,General requirements,5.0,Compilation guide
44.0,http://www.iqtree.org/doc/Compilation-Guide#downloading-source-code,44.0,Downloading source code,5.0,Compilation guide
45.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-under-linux,45.0,Compiling under Linux,5.0,Compilation guide
46.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-under-mac-os-x,46.0,Compiling under Mac OS X,5.0,Compilation guide
47.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-under-windows,47.0,Compiling under Windows,5.0,Compilation guide
48.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-32-bit-version,48.0,Compiling 32-bit version,5.0,Compilation guide
49.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-mpi-version,49.0,Compiling MPI version,5.0,Compilation guide
50.0,http://www.iqtree.org/doc/Compilation-Guide#compiling-xeon-phi-knights-landing-version,50.0,Compiling Xeon Phi Knights Landing version,5.0,Compilation guide
51.0,http://www.iqtree.org/doc/Compilation-Guide#about-precompiled-binaries,51.0,About precompiled binaries,5.0,Compilation guide
52.0,http://www.iqtree.org/doc/Compilation-Guide#setup-an-xcode-project-in-macos,52.0,Setup an Xcode project in MacOS,5.0,Compilation guide
53.0,http://www.iqtree.org/doc/Complex-Models#partition-models,53.0,Partition models,6.0,Complex models
54.0,http://www.iqtree.org/doc/Complex-Models#mixture-models,54.0,Mixture models,6.0,Complex models
55.0,http://www.iqtree.org/doc/Complex-Models#site-specific-frequency-models,55.0,Site-specific frequency models,6.0,Complex models
56.0,http://www.iqtree.org/doc/Complex-Models#heterotachy-models,56.0,Heterotachy models,6.0,Complex models
57.0,http://www.iqtree.org/doc/Concordance-Factor#inferring-species-tree,57.0,Inferring species tree,7.0,Concordance Factor
58.0,http://www.iqtree.org/doc/Concordance-Factor#inferring-genelocus-trees,58.0,Inferring gene/locus trees,7.0,Concordance Factor
59.0,http://www.iqtree.org/doc/Concordance-Factor#gene-concordance-factor-gcf,59.0,Gene concordance factor (gCF),7.0,Concordance Factor
60.0,http://www.iqtree.org/doc/Concordance-Factor#site-concordance-factor-scf,60.0,Site concordance factor (sCF),7.0,Concordance Factor
61.0,http://www.iqtree.org/doc/Concordance-Factor#putting-it-all-together,61.0,Putting it all together,7.0,Concordance Factor
62.0,http://www.iqtree.org/doc/Developer-Guide#alignment-class,62.0,Alignment class,8.0,Developer guide
63.0,http://www.iqtree.org/doc/Developer-Guide#model-of-substitution,63.0,Model of substitution,8.0,Developer guide
64.0,http://www.iqtree.org/doc/Developer-Guide#phylotree-class-phylogenetic-tree,64.0,PhyloTree class (phylogenetic tree),8.0,Developer guide
65.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-get-help,65.0,How do I get help?,9.0,Frequently asked questions
66.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-report-bug,66.0,How do I report bug?,9.0,Frequently asked questions
67.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-interpret-ultrafast-bootstrap-ufboot-support-values,67.0,How do I interpret ultrafast bootstrap (UFBoot) support values?,9.0,Frequently asked questions
68.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-does-iq-tree-treat-gapmissingambiguous-characters,68.0,How does IQ-TREE treat gap/missing/ambiguous characters?,9.0,Frequently asked questions
69.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#can-i-mix-dna-and-protein-data-in-a-partitioned-analysis,69.0,Can I mix DNA and protein data in a partitioned analysis?,9.0,Frequently asked questions
70.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-interpretation-of-branch-lengths-when-mixing-codon-and-dna-data,70.0,What is the interpretation of branch lengths when mixing codon and DNA data?,9.0,Frequently asked questions
71.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-purpose-of-composition-test,71.0,What is the purpose of composition test?,9.0,Frequently asked questions
72.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#what-is-the-good-number-of-cpu-cores-to-use,72.0,What is the good number of CPU cores to use?,9.0,Frequently asked questions
73.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-do-i-save-time-for-standard-bootstrap,73.0,How do I save time for standard bootstrap?,9.0,Frequently asked questions
74.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#why-does-iq-tree-complain-about-the-use-of-asc-model,74.0,Why does IQ-TREE complain about the use of +ASC model?,9.0,Frequently asked questions
75.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#how-does-iq-tree-treat-identical-sequences,75.0,How does IQ-TREE treat identical sequences?,9.0,Frequently asked questions
76.0,http://www.iqtree.org/doc/Frequently-Asked-Questions#what-are-the-differences-between-alignment-columnssites-and-patterns,76.0,What are the differences between alignment columns/sites and patterns?,9.0,Frequently asked questions
77.0,http://www.iqtree.org/doc/Quickstart#iq-tree-web-server,77.0,IQ-TREE web server,10.0,Getting started
78.0,http://www.iqtree.org/doc/Quickstart#installation,78.0,Installation,10.0,Getting started
79.0,http://www.iqtree.org/doc/Quickstart#for-windows-users,79.0,For Windows users,10.0,Getting started
80.0,http://www.iqtree.org/doc/Quickstart#for-mac-os-x-users,80.0,For Mac OS X users,10.0,Getting started
81.0,http://www.iqtree.org/doc/Quickstart#minimal-command-line-examples,81.0,Minimal command-line examples,10.0,Getting started
82.0,http://www.iqtree.org/doc/Quickstart#where-to-go-from-here,82.0,Where to go from here?,10.0,Getting started
83.0,http://www.iqtree.org/doc/Home#why-iq-tree,83.0,Why IQ-TREE?,11.0,Introduction
84.0,http://www.iqtree.org/doc/Home#key-features,84.0,Key features,11.0,Introduction
85.0,http://www.iqtree.org/doc/Home#free-web-server,85.0,Free web server,11.0,Introduction
86.0,http://www.iqtree.org/doc/Home#user-support,86.0,User support,11.0,Introduction
87.0,http://www.iqtree.org/doc/Home#documentation,87.0,Documentation,11.0,Introduction
88.0,http://www.iqtree.org/doc/Home#how-to-cite-iq-tree,88.0,How to cite IQ-TREE?,11.0,Introduction
89.0,http://www.iqtree.org/doc/Home#development-team,89.0,Development team,11.0,Introduction
90.0,http://www.iqtree.org/doc/Home#credits-and-acknowledgements,90.0,Credits and acknowledgements,11.0,Introduction
91.0,http://www.iqtree.org/doc/Dating#inferring-time-tree-with-tip-dates,91.0,Inferring time tree with tip dates,12.0,Phylogenetic Dating
92.0,http://www.iqtree.org/doc/Dating#calibrating-tree-using-ancestral-dates,92.0,Calibrating tree using ancestral dates,12.0,Phylogenetic Dating
93.0,http://www.iqtree.org/doc/Dating#dating-an-existing-tree,93.0,Dating an existing tree,12.0,Phylogenetic Dating
94.0,http://www.iqtree.org/doc/Dating#obtaining-confidence-intervals,94.0,Obtaining confidence intervals,12.0,Phylogenetic Dating
95.0,http://www.iqtree.org/doc/Dating#excluding-outlier-taxanodes,95.0,Excluding outlier taxa/nodes,12.0,Phylogenetic Dating
96.0,http://www.iqtree.org/doc/Dating#full-list-of-lsd2-options,96.0,Full list of LSD2 options,12.0,Phylogenetic Dating
97.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#counts-files,97.0,Counts files,13.0,Polymorphism-aware models
98.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#first-running-example,98.0,First running example,13.0,Polymorphism-aware models
99.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#substitution-models,99.0,Substitution models,13.0,Polymorphism-aware models
100.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#virtual-population-size,100.0,Virtual population size,13.0,Polymorphism-aware models
101.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#level-of-polymorphism,101.0,Level of polymorphism,13.0,Polymorphism-aware models
102.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#sampling-method,102.0,Sampling method,13.0,Polymorphism-aware models
103.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#state-frequency-type,103.0,State frequency type,13.0,Polymorphism-aware models
104.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#rate-heterogeneity,104.0,Rate heterogeneity,13.0,Polymorphism-aware models
105.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#bootstrap-branch-support,105.0,Bootstrap branch support,13.0,Polymorphism-aware models
106.0,http://www.iqtree.org/doc/Polymorphism-Aware-Models#interpretation-of-branch-lengths,106.0,Interpretation of branch lengths,13.0,Polymorphism-aware models
107.0,http://www.iqtree.org/doc/Rootstrap#inferring-unrooted-tree-with-outgroup,107.0,Inferring unrooted tree with outgroup,14.0,Rooting phylogenetic trees
108.0,http://www.iqtree.org/doc/Rootstrap#inferring-rooted-trees-without-outgroup,108.0,Inferring rooted trees without outgroup,14.0,Rooting phylogenetic trees
109.0,http://www.iqtree.org/doc/Rootstrap#testing-root-positions,109.0,Testing root positions,14.0,Rooting phylogenetic trees
110.0,http://www.iqtree.org/doc/Substitution-Models#dna-models,110.0,DNA models,15.0,Substitution models
111.0,http://www.iqtree.org/doc/Substitution-Models#protein-models,111.0,Protein models,15.0,Substitution models
112.0,http://www.iqtree.org/doc/Substitution-Models#codon-models,112.0,Codon models,15.0,Substitution models
113.0,http://www.iqtree.org/doc/Substitution-Models#binary-and-morphological-models,113.0,Binary and morphological models,15.0,Substitution models
114.0,http://www.iqtree.org/doc/Substitution-Models#ascertainment-bias-correction,114.0,Ascertainment bias correction,15.0,Substitution models
115.0,http://www.iqtree.org/doc/Substitution-Models#rate-heterogeneity-across-sites,115.0,Rate heterogeneity across sites,15.0,Substitution models
116.0,http://www.iqtree.org/doc/Web-Server-Tutorial#tree-inference,116.0,Tree Inference,16.0,Web server tutorial
117.0,http://www.iqtree.org/doc/Web-Server-Tutorial#model-selection,117.0,Model Selection,16.0,Web server tutorial
118.0,http://www.iqtree.org/doc/Web-Server-Tutorial#analysis-results,118.0,Analysis Results,16.0,Web server tutorial
