test_id,expected,actual,max2,max3
328.0,4.0,16.0,6.0,2.0
310.0,4.0,16.0,6.0,15.0
276.0,4.0,15.0,2.0,9.0
345.0,4.0,6.0,15.0,10.0
218.0,3.0,4.0,7.0,16.0
359.0,4.0,2.0,7.0,9.0
186.0,3.0,2.0,12.0,10.0
190.0,3.0,2.0,12.0,10.0
243.0,3.0,2.0,16.0,15.0
154.0,3.0,16.0,15.0,9.0
365.0,4.0,4.0,12.0,1.0
228.0,3.0,3.0,16.0,15.0
234.0,3.0,2.0,9.0,4.0
347.0,4.0,2.0,12.0,10.0
371.0,4.0,6.0,13.0,9.0
304.0,4.0,15.0,9.0,5.0
296.0,4.0,15.0,6.0,16.0
187.0,3.0,16.0,2.0,12.0
254.0,3.0,2.0,12.0,10.0
268.0,4.0,4.0,6.0,11.0
166.0,3.0,2.0,6.0,4.0
195.0,3.0,16.0,1.0,9.0
192.0,3.0,16.0,9.0,6.0
252.0,3.0,12.0,9.0,4.0
200.0,3.0,12.0,7.0,2.0
211.0,3.0,2.0,12.0,7.0
177.0,3.0,3.0,2.0,16.0
161.0,3.0,13.0,2.0,16.0
193.0,3.0,1.0,15.0,12.0
204.0,3.0,2.0,16.0,9.0
229.0,3.0,2.0,3.0,12.0
329.0,4.0,4.0,2.0,7.0
377.0,4.0,2.0,12.0,10.0
159.0,3.0,16.0,15.0,10.0
331.0,4.0,16.0,6.0,13.0
291.0,4.0,15.0,9.0,13.0
338.0,4.0,4.0,7.0,12.0
335.0,4.0,4.0,7.0,3.0
362.0,4.0,6.0,9.0,15.0
319.0,4.0,4.0,6.0,2.0
158.0,3.0,5.0,16.0,9.0
273.0,4.0,15.0,16.0,10.0
294.0,4.0,6.0,9.0,15.0
369.0,4.0,2.0,4.0,15.0
215.0,3.0,12.0,1.0,10.0
198.0,3.0,15.0,9.0,3.0
