do_sample,elapsed_time,fast_token,length,model_name,padding,result
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
1.0,0.15390443801879883,0.0,152.0,t5-small,,0.8
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
1.0,0.15390443801879883,0.0,152.0,t5-small,,0.8
1.0,0.15790343284606934,0.0,158.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
1.0,0.15390443801879883,0.0,152.0,t5-small,,0.8
1.0,0.15790343284606934,0.0,158.0,t5-small,,0.0
1.0,0.16289758682250977,0.0,97.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
1.0,0.15390443801879883,0.0,152.0,t5-small,,0.8
1.0,0.15790343284606934,0.0,158.0,t5-small,,0.0
1.0,0.16289758682250977,0.0,97.0,t5-small,,0.0
1.0,0.15290307998657227,0.0,197.0,t5-small,,0.0
1.0,0.25589847564697266,0.0,100.0,t5-small,,0.0
1.0,0.16090011596679688,0.0,137.0,t5-small,,0.4
1.0,0.16889572143554688,0.0,238.0,t5-small,,0.0
1.0,0.1978774070739746,0.0,357.0,t5-small,,3.0
1.0,0.18288731575012207,0.0,306.0,t5-small,,0.6
1.0,0.12792277336120605,0.0,128.0,t5-small,,0.0
1.0,0.13791441917419434,0.0,87.0,t5-small,,0.0
