test_id,expected,actual,max2,max3
112.0,1.0,4.0,4.0,16.0
1301.0,16.0,1.0,1.0,10.0
234.0,3.0,1.0,1.0,14.0
123.0,1.0,1.0,1.0,10.0
236.0,3.0,4.0,4.0,14.0
1052.0,12.0,4.0,4.0,14.0
1221.0,15.0,4.0,4.0,4.0
912.0,11.0,5.0,5.0,10.0
1106.0,13.0,4.0,4.0,14.0
584.0,5.0,1.0,1.0,15.0
929.0,11.0,4.0,4.0,15.0
1230.0,15.0,4.0,4.0,15.0
793.0,9.0,4.0,4.0,14.0
175.0,2.0,1.0,1.0,10.0
650.0,6.0,1.0,1.0,14.0
541.0,5.0,4.0,4.0,14.0
1217.0,15.0,4.0,4.0,14.0
887.0,10.0,4.0,4.0,10.0
92.0,1.0,4.0,4.0,16.0
81.0,1.0,4.0,4.0,14.0
1249.0,15.0,4.0,4.0,15.0
1122.0,13.0,1.0,1.0,1.0
714.0,7.0,4.0,4.0,16.0
894.0,10.0,4.0,4.0,15.0
501.0,4.0,4.0,4.0,4.0
66.0,1.0,1.0,1.0,15.0
57.0,1.0,1.0,1.0,1.0
895.0,10.0,6.0,6.0,16.0
644.0,6.0,1.0,1.0,15.0
557.0,5.0,4.0,4.0,10.0
851.0,9.0,4.0,4.0,14.0
696.0,6.0,4.0,4.0,14.0
1026.0,12.0,4.0,4.0,14.0
202.0,3.0,4.0,4.0,15.0
1239.0,15.0,4.0,4.0,15.0
974.0,11.0,4.0,4.0,16.0
1146.0,14.0,4.0,4.0,15.0
1294.0,16.0,4.0,4.0,14.0
159.0,2.0,15.0,15.0,15.0
19.0,1.0,4.0,4.0,4.0
597.0,6.0,4.0,4.0,14.0
1231.0,15.0,4.0,4.0,14.0
221.0,3.0,1.0,1.0,15.0
215.0,3.0,4.0,4.0,14.0
274.0,3.0,5.0,5.0,15.0
1088.0,13.0,1.0,1.0,10.0
1063.0,13.0,4.0,4.0,16.0
772.0,8.0,4.0,4.0,14.0
1280.0,15.0,4.0,4.0,15.0
614.0,6.0,4.0,4.0,14.0
157.0,2.0,4.0,4.0,10.0
342.0,4.0,4.0,4.0,15.0
824.0,9.0,4.0,4.0,14.0
984.0,12.0,4.0,4.0,15.0
928.0,11.0,4.0,4.0,14.0
821.0,9.0,4.0,4.0,14.0
354.0,4.0,4.0,4.0,14.0
674.0,6.0,1.0,1.0,1.0
843.0,9.0,4.0,4.0,14.0
1288.0,16.0,1.0,1.0,10.0
1132.0,13.0,4.0,4.0,14.0
230.0,3.0,4.0,4.0,14.0
158.0,2.0,4.0,4.0,15.0
697.0,6.0,1.0,1.0,1.0
1256.0,15.0,4.0,4.0,10.0
959.0,11.0,4.0,4.0,4.0
994.0,12.0,1.0,1.0,1.0
1302.0,16.0,4.0,4.0,14.0
993.0,12.0,4.0,4.0,15.0
657.0,6.0,4.0,4.0,14.0
245.0,3.0,4.0,4.0,14.0
773.0,8.0,4.0,4.0,15.0
305.0,3.0,1.0,1.0,15.0
1006.0,12.0,1.0,1.0,1.0
788.0,9.0,4.0,4.0,14.0
909.0,11.0,4.0,4.0,10.0
529.0,5.0,4.0,4.0,14.0
168.0,2.0,4.0,4.0,14.0
653.0,6.0,1.0,1.0,15.0
465.0,4.0,1.0,1.0,14.0
173.0,2.0,1.0,1.0,1.0
