test_id,expected,actual,max2,max3
192.0,3.0,4.0,3.0,0.0
332.0,4.0,4.0,3.0,0.0
314.0,4.0,4.0,3.0,0.0
279.0,4.0,4.0,3.0,0.0
346.0,4.0,4.0,3.0,0.0
220.0,3.0,3.0,4.0,0.0
359.0,4.0,4.0,3.0,0.0
187.0,3.0,4.0,3.0,0.0
191.0,3.0,4.0,3.0,0.0
246.0,3.0,3.0,4.0,0.0
154.0,3.0,3.0,4.0,0.0
365.0,4.0,4.0,3.0,0.0
230.0,3.0,3.0,4.0,0.0
236.0,3.0,3.0,4.0,0.0
371.0,4.0,4.0,3.0,0.0
308.0,4.0,4.0,3.0,0.0
300.0,4.0,4.0,3.0,0.0
188.0,3.0,3.0,4.0,0.0
257.0,3.0,3.0,4.0,0.0
271.0,4.0,4.0,3.0,0.0
167.0,3.0,3.0,4.0,0.0
196.0,3.0,3.0,4.0,0.0
193.0,3.0,4.0,3.0,0.0
255.0,3.0,3.0,4.0,0.0
201.0,3.0,3.0,4.0,0.0
213.0,3.0,3.0,4.0,0.0
178.0,3.0,3.0,4.0,0.0
161.0,3.0,4.0,3.0,0.0
194.0,3.0,3.0,4.0,0.0
206.0,3.0,3.0,4.0,0.0
231.0,3.0,3.0,4.0,0.0
333.0,4.0,4.0,3.0,0.0
377.0,4.0,4.0,3.0,0.0
159.0,3.0,3.0,4.0,0.0
335.0,4.0,3.0,4.0,0.0
295.0,4.0,4.0,3.0,0.0
342.0,4.0,3.0,4.0,0.0
339.0,4.0,4.0,3.0,0.0
366.0,4.0,4.0,3.0,0.0
323.0,4.0,4.0,3.0,0.0
158.0,3.0,3.0,4.0,0.0
276.0,4.0,4.0,3.0,0.0
298.0,4.0,4.0,3.0,0.0
373.0,4.0,4.0,3.0,0.0
217.0,3.0,3.0,4.0,0.0
199.0,3.0,3.0,4.0,0.0
