test_id,expected,actual,max2,max3
192.0,16.0,28.0,32.0,30.0
332.0,34.0,25.0,40.0,34.0
314.0,30.0,30.0,31.0,29.0
279.0,27.0,27.0,37.0,42.0
346.0,37.0,25.0,40.0,34.0
220.0,19.0,19.0,21.0,35.0
359.0,40.0,40.0,34.0,33.0
187.0,16.0,16.0,28.0,34.0
191.0,16.0,16.0,30.0,39.0
246.0,23.0,23.0,16.0,18.0
154.0,14.0,14.0,25.0,18.0
365.0,41.0,41.0,39.0,33.0
230.0,21.0,21.0,19.0,35.0
236.0,22.0,22.0,20.0,21.0
371.0,42.0,39.0,38.0,25.0
308.0,30.0,30.0,29.0,39.0
300.0,29.0,29.0,31.0,34.0
188.0,16.0,16.0,17.0,18.0
257.0,24.0,24.0,31.0,22.0
271.0,27.0,27.0,32.0,25.0
167.0,15.0,15.0,32.0,33.0
196.0,17.0,17.0,25.0,31.0
193.0,16.0,16.0,33.0,39.0
255.0,23.0,23.0,25.0,22.0
201.0,18.0,18.0,42.0,27.0
213.0,18.0,18.0,16.0,21.0
178.0,16.0,16.0,42.0,27.0
161.0,15.0,15.0,25.0,39.0
194.0,16.0,16.0,15.0,37.0
206.0,18.0,18.0,25.0,37.0
231.0,21.0,21.0,35.0,34.0
333.0,34.0,34.0,29.0,32.0
377.0,42.0,42.0,37.0,15.0
159.0,15.0,31.0,25.0,15.0
335.0,35.0,35.0,34.0,21.0
295.0,28.0,28.0,25.0,31.0
342.0,36.0,36.0,39.0,35.0
339.0,36.0,36.0,32.0,30.0
366.0,41.0,41.0,25.0,40.0
323.0,33.0,33.0,39.0,38.0
158.0,14.0,14.0,25.0,28.0
276.0,27.0,27.0,40.0,14.0
298.0,29.0,29.0,30.0,40.0
373.0,42.0,42.0,34.0,18.0
217.0,18.0,18.0,42.0,27.0
199.0,17.0,17.0,25.0,42.0
