test_id,expected,actual,max2,max3
38.0,14.0,14.0,,
39.0,14.0,14.0,,
40.0,15.0,15.0,,
43.0,16.0,16.0,,
44.0,16.0,34.0,,
45.0,16.0,16.0,,
46.0,16.0,16.0,,
47.0,16.0,16.0,,
48.0,16.0,16.0,,
49.0,17.0,17.0,,
50.0,17.0,17.0,,
53.0,19.0,19.0,,
54.0,19.0,19.0,,
55.0,19.0,19.0,,
56.0,19.0,19.0,,
57.0,19.0,19.0,,
58.0,19.0,19.0,,
59.0,20.0,20.0,,
60.0,21.0,21.0,,
61.0,22.0,21.0,,
63.0,23.0,23.0,,
64.0,23.0,23.0,,
65.0,23.0,23.0,,
66.0,24.0,24.0,,
67.0,25.0,25.0,,
68.0,25.0,25.0,,
69.0,25.0,25.0,,
70.0,25.0,25.0,,
71.0,25.0,25.0,,
72.0,25.0,25.0,,
73.0,25.0,25.0,,
74.0,26.0,27.0,,
75.0,26.0,28.0,,
76.0,26.0,26.0,,
77.0,27.0,37.0,,
78.0,27.0,27.0,,
79.0,27.0,27.0,,
80.0,27.0,27.0,,
83.0,28.0,28.0,,
84.0,28.0,28.0,,
85.0,28.0,28.0,,
86.0,28.0,28.0,,
87.0,28.0,28.0,,
88.0,28.0,28.0,,
89.0,28.0,28.0,,
90.0,28.0,28.0,,
91.0,28.0,28.0,,
92.0,28.0,28.0,,
93.0,28.0,28.0,,
94.0,29.0,29.0,,
95.0,29.0,29.0,,
96.0,29.0,29.0,,
97.0,30.0,30.0,,
98.0,30.0,30.0,,
99.0,30.0,30.0,,
100.0,31.0,32.0,,
101.0,31.0,28.0,,
102.0,32.0,32.0,,
103.0,32.0,32.0,,
104.0,32.0,28.0,,
105.0,32.0,32.0,,
106.0,33.0,33.0,,
107.0,33.0,33.0,,
108.0,33.0,33.0,,
109.0,33.0,33.0,,
110.0,33.0,33.0,,
111.0,33.0,33.0,,
112.0,34.0,34.0,,
113.0,34.0,34.0,,
114.0,34.0,37.0,,
115.0,34.0,34.0,,
116.0,34.0,34.0,,
117.0,35.0,35.0,,
118.0,36.0,36.0,,
119.0,37.0,37.0,,
120.0,37.0,37.0,,
121.0,38.0,38.0,,
122.0,38.0,38.0,,
123.0,38.0,38.0,,
124.0,39.0,39.0,,
125.0,39.0,39.0,,
126.0,39.0,39.0,,
127.0,39.0,39.0,,
128.0,40.0,40.0,,
129.0,41.0,41.0,,
130.0,42.0,33.0,,
131.0,42.0,32.0,,
132.0,42.0,42.0,,
133.0,42.0,28.0,,
134.0,42.0,42.0,,
