test_id,expected,actual,max2,max3
328.0,33.0,33.0,30.0,17.0
310.0,30.0,30.0,32.0,29.0
276.0,27.0,33.0,25.0,34.0
345.0,37.0,39.0,41.0,25.0
218.0,19.0,34.0,19.0,35.0
359.0,40.0,40.0,34.0,33.0
186.0,16.0,16.0,23.0,18.0
190.0,16.0,16.0,25.0,34.0
243.0,22.0,22.0,14.0,29.0
154.0,14.0,14.0,42.0,33.0
365.0,41.0,41.0,39.0,40.0
228.0,20.0,20.0,34.0,25.0
234.0,22.0,36.0,19.0,21.0
347.0,37.0,16.0,34.0,25.0
371.0,42.0,42.0,25.0,41.0
304.0,29.0,25.0,31.0,28.0
296.0,29.0,31.0,29.0,40.0
187.0,16.0,34.0,28.0,16.0
254.0,23.0,23.0,25.0,20.0
268.0,27.0,40.0,14.0,39.0
166.0,15.0,39.0,38.0,33.0
195.0,17.0,17.0,28.0,34.0
192.0,16.0,29.0,31.0,25.0
252.0,23.0,23.0,25.0,33.0
200.0,17.0,17.0,25.0,34.0
211.0,18.0,18.0,17.0,25.0
177.0,16.0,34.0,28.0,31.0
161.0,15.0,25.0,15.0,39.0
193.0,16.0,33.0,28.0,34.0
204.0,18.0,18.0,25.0,14.0
229.0,20.0,20.0,23.0,34.0
329.0,34.0,34.0,35.0,19.0
377.0,42.0,42.0,34.0,37.0
159.0,15.0,40.0,34.0,31.0
331.0,34.0,31.0,34.0,20.0
291.0,28.0,34.0,28.0,33.0
338.0,36.0,36.0,34.0,19.0
335.0,35.0,35.0,34.0,21.0
362.0,40.0,40.0,25.0,34.0
319.0,32.0,32.0,40.0,25.0
158.0,14.0,14.0,17.0,39.0
273.0,27.0,33.0,34.0,25.0
294.0,28.0,40.0,25.0,34.0
369.0,41.0,41.0,33.0,39.0
215.0,18.0,18.0,34.0,33.0
198.0,17.0,17.0,33.0,14.0
