test_id,expected,actual,max2,max3
311.0,31.0,22.0,30.0,35.0
277.0,26.0,26.0,27.0,29.0
327.0,34.0,34.0,39.0,15.0
217.0,20.0,20.0,14.0,19.0
340.0,37.0,37.0,36.0,30.0
184.0,16.0,15.0,13.0,16.0
189.0,16.0,16.0,26.0,38.0
243.0,23.0,23.0,18.0,36.0
152.0,13.0,13.0,15.0,16.0
346.0,38.0,22.0,30.0,35.0
228.0,21.0,21.0,33.0,36.0
234.0,21.0,21.0,15.0,31.0
352.0,39.0,39.0,34.0,15.0
305.0,30.0,30.0,35.0,36.0
297.0,29.0,29.0,27.0,26.0
185.0,16.0,16.0,13.0,15.0
254.0,24.0,24.0,36.0,28.0
269.0,25.0,28.0,25.0,36.0
164.0,14.0,39.0,23.0,22.0
194.0,16.0,16.0,15.0,34.0
191.0,16.0,16.0,38.0,27.0
252.0,24.0,24.0,36.0,28.0
199.0,17.0,17.0,32.0,31.0
210.0,18.0,18.0,14.0,15.0
175.0,14.0,14.0,34.0,16.0
159.0,14.0,28.0,14.0,25.0
192.0,16.0,16.0,15.0,34.0
203.0,17.0,18.0,14.0,15.0
229.0,21.0,21.0,36.0,35.0
330.0,35.0,35.0,36.0,28.0
357.0,39.0,39.0,29.0,15.0
157.0,14.0,26.0,28.0,14.0
332.0,35.0,35.0,30.0,36.0
292.0,27.0,27.0,29.0,26.0
339.0,37.0,37.0,36.0,30.0
336.0,36.0,36.0,30.0,32.0
320.0,33.0,22.0,30.0,35.0
156.0,13.0,13.0,15.0,24.0
274.0,25.0,25.0,14.0,28.0
295.0,28.0,28.0,15.0,25.0
214.0,19.0,19.0,32.0,17.0
197.0,16.0,33.0,14.0,25.0
