,test_id,expected,actual
0,85.0,7.0,7.0
1,217.0,20.0,20.0
2,232.0,11.0,22.0
3,10.0,3.0,1.0
4,127.0,11.0,11.0
5,61.0,5.0,5.0
6,56.0,5.0,5.0
7,199.0,11.0,17.0
8,112.0,10.0,10.0
9,16.0,1.0,1.0
10,209.0,19.0,19.0
11,26.0,2.0,2.0
12,156.0,14.0,14.0
13,69.0,10.0,6.0
14,201.0,17.0,17.0
15,196.0,17.0,17.0
16,20.0,1.0,1.0
17,186.0,16.0,16.0
18,76.0,6.0,6.0
19,25.0,2.0,2.0
20,208.0,19.0,19.0
21,11.0,9.0,1.0
22,139.0,13.0,13.0
23,187.0,16.0,16.0
24,147.0,13.0,13.0
25,165.0,14.0,14.0
26,183.0,16.0,16.0
27,110.0,2.0,9.0
28,19.0,1.0,1.0
29,31.0,3.0,3.0
