match_1,match_2,match_3,name
40.0,41.0,41.0,000000
41.0,43.0,46.0,000001
41.0,44.0,44.0,000010
43.0,45.0,45.0,000011
38.0,40.0,41.0,000100
43.0,45.0,45.0,000101
39.0,42.0,43.0,000110
42.0,43.0,45.0,000111
42.0,45.0,45.0,001000
37.0,42.0,43.0,001001
41.0,45.0,45.0,001010
42.0,43.0,43.0,001011
39.0,42.0,46.0,001100
44.0,45.0,46.0,001101
42.0,45.0,45.0,001110
39.0,44.0,44.0,001111
41.0,43.0,44.0,010000
44.0,46.0,46.0,010001
42.0,45.0,46.0,010010
43.0,45.0,45.0,010011
41.0,44.0,44.0,010100
43.0,45.0,45.0,010101
40.0,45.0,45.0,010110
42.0,46.0,46.0,010111
39.0,44.0,44.0,011000
40.0,43.0,44.0,011001
40.0,43.0,46.0,011010
41.0,43.0,44.0,011011
41.0,44.0,45.0,011100
41.0,44.0,44.0,011101
41.0,43.0,45.0,011110
40.0,45.0,45.0,011111
42.0,45.0,45.0,100000
44.0,45.0,46.0,100001
42.0,46.0,46.0,100010
45.0,47.0,47.0,100011
44.0,45.0,47.0,100100
41.0,45.0,46.0,100101
39.0,44.0,44.0,100110
41.0,45.0,45.0,100111
38.0,42.0,42.0,101000
39.0,43.0,47.0,101001
43.0,46.0,47.0,101010
43.0,45.0,46.0,101011
44.0,45.0,47.0,101100
44.0,45.0,46.0,101101
42.0,45.0,45.0,101110
43.0,45.0,45.0,101111
43.0,44.0,46.0,110000
42.0,44.0,44.0,110001
39.0,43.0,44.0,110010
42.0,45.0,45.0,110011
43.0,46.0,47.0,110100
42.0,45.0,45.0,110101
42.0,45.0,47.0,110110
40.0,44.0,45.0,110111
45.0,46.0,46.0,111000
42.0,45.0,46.0,111001
45.0,46.0,47.0,111010
42.0,44.0,47.0,111011
40.0,44.0,45.0,111100
43.0,45.0,45.0,111101
43.0,45.0,46.0,111110
42.0,45.0,47.0,111111
23.0,27.0,34.0,Bert
36.0,41.0,43.0,Bm25
39.0,46.0,46.0,BM25_Lable
42.0,44.0,44.0,Command
27.0,32.0,33.0,Google
33.0,33.0,33.0,Label
