,test_id,expected,actual
0,58.0,5.0,5.0
1,226.0,13.0,21.0
2,221.0,4.0,21.0
3,174.0,13.0,15.0
4,217.0,20.0,20.0
5,153.0,14.0,14.0
6,80.0,5.0,7.0
7,73.0,6.0,6.0
8,43.0,1.0,4.0
9,100.0,14.0,9.0
10,211.0,13.0,20.0
11,84.0,6.0,7.0
12,25.0,1.0,2.0
13,150.0,5.0,13.0
14,193.0,16.0,16.0
15,91.0,8.0,8.0
16,196.0,17.0,17.0
17,194.0,17.0,17.0
18,65.0,7.0,6.0
19,149.0,7.0,13.0
20,29.0,1.0,3.0
21,116.0,10.0,10.0
22,158.0,13.0,14.0
23,213.0,20.0,20.0
24,209.0,19.0,19.0
25,228.0,21.0,21.0
26,30.0,3.0,3.0
27,13.0,1.0,1.0
28,89.0,13.0,8.0
29,166.0,14.0,14.0
30,225.0,21.0,21.0
31,133.0,12.0,12.0
32,23.0,1.0,2.0
33,124.0,10.0,10.0
34,215.0,20.0,20.0
35,169.0,9.0,14.0
36,104.0,9.0,9.0
37,140.0,13.0,13.0
38,201.0,12.0,17.0
39,170.0,9.0,14.0
40,83.0,5.0,7.0
41,160.0,14.0,14.0
42,106.0,9.0,9.0
43,95.0,8.0,8.0
44,33.0,3.0,3.0
45,129.0,13.0,12.0
46,82.0,5.0,7.0
